Geneid	gene_name	control_R1	control_R2	control_R3	sox8_oe_R1	sox8_oe_R2	sox8_oe_R3
ENSGALG00000052736	NA	9	31	17	52	12	21
ENSGALG00000009983	NUBPL	2168	2672	2266	2752	955	1482
ENSGALG00000009992	ARHGAP5	2352	2522	2665	2432	4514	3574
ENSGALG00000053909	NA	8	2	3	1	19	6
ENSGALG00000009995	AKAP6	201	48	151	51	84	58
ENSGALG00000029022	NPAS3	84	127	243	364	596	558
ENSGALG00000025613	RF00006	0	0	0	0	0	1
ENSGALG00000026889	RF02271	3	1	21	0	49	88
ENSGALG00000054153	NA	32	5	19	130	66	59
ENSGALG00000010001	EGLN3	156	612	344	414	68	227
ENSGALG00000050170	NA	10	28	10	16	63	10
ENSGALG00000048439	NA	0	0	2	4	3	0
ENSGALG00000025755	SPTSSA	1898	2862	2292	2385	533	748
ENSGALG00000010007	EAPP	4012	4820	4022	3855	2743	2898
ENSGALG00000010025	SNX6	12846	13823	15290	21159	9324	8255
ENSGALG00000010027	CFL2	7018	7438	7774	8752	1879	1919
ENSGALG00000010030	NA	427	443	412	352	403	333
ENSGALG00000050210	NA	97	88	112	65	174	128
ENSGALG00000033647	NA	742	583	775	640	940	1010
ENSGALG00000052941	NA	3	1	3	8	0	50
ENSGALG00000051250	NA	3	4	13	0	8	18
ENSGALG00000010034	NA	3737	3601	3822	2934	1028	907
ENSGALG00000023135	SRP54	2511	3031	2414	3161	744	1132
ENSGALG00000010046	FAM177A1	1260	1255	1397	2493	1452	1231
ENSGALG00000010052	PPP2R3C	2460	1993	2652	2692	586	889
ENSGALG00000034264	NA	2835	2437	3388	2734	634	754
ENSGALG00000010060	PSMA6	23678	29753	25681	23773	7515	9427
ENSGALG00000053768	NA	0	0	15	0	0	0
ENSGALG00000027864	NFKBIA	442	765	429	561	1315	731
ENSGALG00000053937	INSM2	0	0	0	0	1	0
ENSGALG00000010088	RALGAPA1	4030	4037	4413	2984	2880	3624
ENSGALG00000010093	BRMS1L	3881	3757	4370	4025	1792	1854
ENSGALG00000048121	NA	0	3	1	0	3	0
ENSGALG00000051543	NA	0	0	0	0	0	0
ENSGALG00000046774	NA	1	0	0	0	2	0
ENSGALG00000051391	NA	2	4	1	2	0	0
ENSGALG00000010096	MBIP	1888	1852	2203	1601	662	739
ENSGALG00000037632	NKX2-1	1247	1633	1377	41	78	14
ENSGALG00000028483	NKX2-8	55	77	81	32	64	36
ENSGALG00000010114	PAX9	0	0	12	0	0	3
ENSGALG00000010117	SLC25A21	189	245	209	338	49	115
ENSGALG00000010118	MIPOL1	397	562	557	606	352	468
ENSGALG00000032713	FOXA1	48	104	89	7	2	7
ENSGALG00000053723	NA	14	9	50	31	48	24
ENSGALG00000048087	NA	0	3	10	0	9	12
ENSGALG00000010137	TTC6	0	0	10	0	0	18
ENSGALG00000048304	NA	0	0	3	0	0	0
ENSGALG00000054810	NA	0	14	4	0	0	0
ENSGALG00000010139	SS1R	0	12	9	0	0	0
ENSGALG00000010150	SEC23A	4055	2966	3597	4260	179	333
ENSGALG00000010154	GEMIN2	7603	8142	7814	7829	2451	3013
ENSGALG00000010157	TRAPPC6B	2891	3415	3223	2948	3138	2377
ENSGALG00000010167	PNN	5987	10076	7186	6483	15818	12558
ENSGALG00000010189	NA	1725	1967	1904	1921	1246	1235
ENSGALG00000010192	FBXO33	157	227	124	129	32	84
ENSGALG00000010193	ZNF410	2295	2388	2522	2682	977	1022
ENSGALG00000010196	FAM161B	558	779	654	567	421	332
ENSGALG00000010197	COQ6	2012	3001	1926	2236	948	966
ENSGALG00000010202	ENTPD5	612	581	591	876	240	382
ENSGALG00000045856	NA	100	80	179	187	147	175
ENSGALG00000010211	ALDH6A1	917	1671	944	1342	602	603
ENSGALG00000020419	LIN52	7700	5847	7320	8341	1274	1324
ENSGALG00000033517	VSX2	125	83	12	1	9	35
ENSGALG00000010225	NA	7	2	40	0	19	8
ENSGALG00000010229	ABCD4	540	718	774	627	382	266
ENSGALG00000026261	gga-mir-6598	14	4	0	0	0	0
ENSGALG00000010232	VRTN	87	251	100	161	147	106
ENSGALG00000010233	SYNDIG1L	40	125	91	6	74	17
ENSGALG00000020417	ISCA2	7057	7877	8198	7615	2481	3332
ENSGALG00000010237	NPC2	1038	1718	1258	1396	868	886
ENSGALG00000010258	LTBP2	36	33	81	53	473	109
ENSGALG00000010270	AREL1	276	221	219	217	3	89
ENSGALG00000010275	FCF1	14028	15360	15183	14873	3568	5071
ENSGALG00000051654	YLPM1	543	535	435	500	1181	1129
ENSGALG00000048996	NA	17	120	93	79	170	107
ENSGALG00000052892	NA	0	0	0	0	0	5
ENSGALG00000010286	DLST	28	267	189	142	148	130
ENSGALG00000010294	RPS6KL1	161	210	177	171	474	315
ENSGALG00000047771	PGF	12	21	14	66	24	59
ENSGALG00000010301	EIF2B2	8084	11144	7906	8652	2269	2694
ENSGALG00000010304	MLH3	661	874	752	893	847	1007
ENSGALG00000010307	ACYP1	1416	2419	1563	1573	1160	1194
ENSGALG00000010309	ZC2HC1C	225	110	102	78	10	31
ENSGALG00000010314	NEK9	2900	3643	2903	3950	2179	2606
ENSGALG00000010318	TMED10	13630	22332	14870	21827	7192	8868
ENSGALG00000028037	FOS	115	461	171	396	1320	827
ENSGALG00000010322	JDP2	30	57	65	27	190	68
ENSGALG00000010323	BATF	4	20	7	11	31	17
ENSGALG00000010326	FLVCR2	112	138	140	215	385	206
ENSGALG00000034354	NA	10970	13866	11968	13545	3641	4972
ENSGALG00000010340	TTLL5	1426	2600	1589	2416	1577	1473
ENSGALG00000010346	TGFB3	1047	1743	1220	1425	1418	1513
ENSGALG00000020415	IFT43	319	520	379	508	710	481
ENSGALG00000046711	NA	13	1	25	0	0	0
ENSGALG00000010350	GPATCH2L	63	167	143	73	40	174
ENSGALG00000041775	ESRRB	1	6	7	1	10	14
ENSGALG00000010372	ANGEL1	1700	2349	1582	2184	1025	1016
ENSGALG00000043036	VASH1	196	361	295	345	675	598
ENSGALG00000053559	NA	3984	5903	4895	4376	5223	4733
ENSGALG00000048497	NA	0	5	0	0	1	4
ENSGALG00000052828	NA	11	5	19	1	3	8
ENSGALG00000050873	NA	42	15	38	10	14	27
ENSGALG00000024525	RF00001	0	0	0	2	0	0
ENSGALG00000041616	IRF2BPL	98	159	69	144	404	297
ENSGALG00000049515	NA	0	0	12	0	0	1
ENSGALG00000010390	CIPC	285	230	297	182	202	114
ENSGALG00000023099	ZDHHC22	1	0	2	0	3	0
ENSGALG00000048945	NA	2	0	0	0	1	11
ENSGALG00000010406	TMEM63C	210	333	93	484	679	546
ENSGALG00000028687	gga-mir-6645	0	0	0	0	2	1
ENSGALG00000010413	NGB	21	89	18	133	61	26
ENSGALG00000041962	POMT2	162	325	235	303	157	191
ENSGALG00000010432	GSTZ1	740	1040	791	795	634	558
ENSGALG00000020410	TMED8	35	147	106	162	55	124
ENSGALG00000010457	NA	29	66	13	64	37	18
ENSGALG00000010459	VIPAS39	914	1702	1279	1276	1333	1745
ENSGALG00000010463	AHSA1	8984	12052	8648	9809	5933	6226
ENSGALG00000025565	gga-mir-1739	0	12	7	6	49	51
ENSGALG00000010468	NA	26	58	23	45	58	13
ENSGALG00000031928	SPTLC2	1059	634	691	846	580	406
ENSGALG00000010485	ALKBH1	537	831	967	1099	810	794
ENSGALG00000031238	SLIRP	6790	12618	7846	10150	15665	9456
ENSGALG00000010501	SNW1	7534	7306	7188	7705	3285	3653
ENSGALG00000010504	ADCK1	392	283	569	476	179	245
ENSGALG00000027255	NRXN3	17	89	51	77	131	17
ENSGALG00000025525	gga-mir-1799	0	0	0	0	0	0
ENSGALG00000052444	NA	0	8	2	1	0	10
ENSGALG00000046941	NA	0	0	1	2	0	0
ENSGALG00000026686	NA	0	0	0	0	0	0
ENSGALG00000049480	NA	0	0	0	0	0	0
ENSGALG00000026005	DIO2	229	238	242	156	155	93
ENSGALG00000010562	CEP128	550	510	592	308	417	278
ENSGALG00000010572	TSHR	1	5	0	3	16	4
ENSGALG00000047413	NA	0	0	0	0	0	7
ENSGALG00000010576	GTF2A1	1708	1685	1917	2189	2251	2066
ENSGALG00000010579	STON2	852	899	987	1086	515	457
ENSGALG00000010581	SEL1L	2786	2105	3287	3502	848	727
ENSGALG00000053642	NA	6	41	56	41	56	35
ENSGALG00000050184	NA	0	0	1	0	3	9
ENSGALG00000048072	NA	30	35	100	28	51	78
ENSGALG00000046930	RF00026	0	0	3	0	28	4
ENSGALG00000047726	NA	3	0	11	5	5	18
ENSGALG00000052618	NA	11	54	55	34	37	63
ENSGALG00000049704	NA	0	3	2	4	6	7
ENSGALG00000035807	NA	76	58	61	88	131	82
ENSGALG00000010589	FLRT2	69	160	68	179	91	213
ENSGALG00000055031	NA	0	0	0	0	0	0
ENSGALG00000050410	NA	0	0	0	0	0	0
ENSGALG00000046945	NA	0	1	0	0	0	0
ENSGALG00000047041	NA	0	0	0	0	0	0
ENSGALG00000052905	NA	0	6	0	0	0	0
ENSGALG00000054510	NA	0	0	0	0	11	0
ENSGALG00000050867	NA	0	0	0	0	0	0
ENSGALG00000050106	NA	0	0	0	0	14	1
ENSGALG00000050936	NA	0	0	0	8	7	0
ENSGALG00000010593	GALC	342	244	456	485	16	40
ENSGALG00000010595	GPR65	0	0	0	0	0	0
ENSGALG00000010598	KCNK10	176	350	222	56	71	122
ENSGALG00000010607	NA	339	437	417	311	145	301
ENSGALG00000010616	NA	909	1354	1429	996	1526	1512
ENSGALG00000010622	ZC3H14	5414	5306	5110	4727	1714	2056
ENSGALG00000010639	NA	50	52	69	23	79	30
ENSGALG00000010663	TTC8	817	999	888	1227	307	463
ENSGALG00000041794	NA	0	4	0	5	4	9
ENSGALG00000047714	NA	255	290	267	324	357	278
ENSGALG00000010665	FOXN3	35	165	118	105	246	102
ENSGALG00000020402	EFCAB11	79	101	74	154	39	70
ENSGALG00000010669	TDP1	6329	5351	5371	5719	1858	1879
ENSGALG00000010672	KCNK13	16	0	11	0	1	10
ENSGALG00000010675	PSMC1	23259	25357	22027	23061	6714	9183
ENSGALG00000010677	NRDE2	1485	1702	1693	1692	1642	1508
ENSGALG00000046951	NA	11	17	55	2	38	25
ENSGALG00000050347	NA	1	14	6	16	5	19
ENSGALG00000026445	CALM1	8700	14238	10404	10941	19677	15015
ENSGALG00000048993	NA	0	2	0	0	0	1
ENSGALG00000054918	NA	10	9	12	4	8	20
ENSGALG00000053551	NA	50	39	15	18	46	173
ENSGALG00000010680	TTC7B	302	666	604	495	226	284
ENSGALG00000030580	RPS6KA5	454	327	539	324	314	554
ENSGALG00000010703	DGLUCY	412	346	190	185	104	93
ENSGALG00000010707	GPR68	0	0	13	1	52	0
ENSGALG00000040156	CCDC88C	1260	2473	1763	2903	5521	4994
ENSGALG00000010734	PPP4R3A	384	428	412	344	944	613
ENSGALG00000048990	NA	0	0	0	0	0	9
ENSGALG00000010738	TC2N	289	230	224	310	60	87
ENSGALG00000010747	FBLN5	3	2	114	26	0	13
ENSGALG00000010763	TRIP11	594	855	779	654	1995	1801
ENSGALG00000010766	ATXN3	1892	1315	2048	1639	333	207
ENSGALG00000028537	NDUFB1	5770	10614	6480	7945	5874	5187
ENSGALG00000010783	CPSF2	5397	4695	5386	5382	1295	1230
ENSGALG00000010793	SLC24A4	21	45	19	93	49	65
ENSGALG00000010806	RIN3	12	26	7	15	12	14
ENSGALG00000010811	LGMN	9322	9934	9440	11248	2328	2645
ENSGALG00000010813	GOLGA5	1408	1483	1509	1665	577	651
ENSGALG00000052466	NA	0	0	2	1	1	0
ENSGALG00000010820	CHGA	36	71	23	132	160	117
ENSGALG00000034898	ITPK1	2684	3602	2773	4119	1809	2240
ENSGALG00000053428	NA	14	29	19	19	47	28
ENSGALG00000051040	TMEM251	1583	1817	1510	1494	647	969
ENSGALG00000010842	UBR7	4407	4385	3465	3869	5166	4287
ENSGALG00000034311	BTBD7	919	1143	1061	1249	1351	1146
ENSGALG00000054927	NA	50	51	0	7	0	1
ENSGALG00000010874	UNC79	492	513	953	406	614	760
ENSGALG00000025208	gga-mir-1800	0	0	1	0	0	8
ENSGALG00000027197	gga-mir-6552	2	0	0	0	0	0
ENSGALG00000025957	RF02271	0	0	0	0	0	0
ENSGALG00000020392	PRIMA1	24	21	19	9	10	24
ENSGALG00000046991	NA	35	10	2	0	1	20
ENSGALG00000054735	FAM181A	185	461	111	283	248	196
ENSGALG00000010881	ASB2	0	0	0	0	0	2
ENSGALG00000053655	NA	6	0	1	0	0	1
ENSGALG00000010884	DDX24	4337	5545	4629	4761	4768	3827
ENSGALG00000050733	NA	0	5	0	7	0	0
ENSGALG00000010950	PPP4R4	23	55	6	152	75	99
ENSGALG00000020391	SERPINA10	1	0	4	3	5	7
ENSGALG00000048036	NA	0	0	0	0	0	0
ENSGALG00000010969	SPIA4	0	0	0	9	6	0
ENSGALG00000023070	SPIA1	0	0	0	0	0	0
ENSGALG00000020390	NA	0	0	0	0	0	0
ENSGALG00000046409	NA	0	0	1	0	0	10
ENSGALG00000020388	NA	0	0	0	0	0	18
ENSGALG00000010974	GSC	54	105	44	41	36	41
ENSGALG00000054627	NA	0	0	0	0	3	7
ENSGALG00000052080	NA	13	6	17	4	34	45
ENSGALG00000050809	NA	0	13	25	0	4	2
ENSGALG00000010999	DICER1	3177	3911	3529	3817	2476	2753
ENSGALG00000030719	CLMN	89	77	68	147	217	148
ENSGALG00000011076	SYNE3	67	35	49	77	38	49
ENSGALG00000025695	RF00231	22	13	23	11	16	10
ENSGALG00000011079	GLRX5	1805	3486	2603	3622	4874	3517
ENSGALG00000046775	NA	6	12	1	2	0	0
ENSGALG00000051504	NA	0	0	0	0	0	0
ENSGALG00000048415	NA	6	20	21	17	5	20
ENSGALG00000048657	NA	0	0	0	0	1	0
ENSGALG00000038596	C14orf132	13	10	21	27	12	5
ENSGALG00000047577	NA	131	51	121	115	67	78
ENSGALG00000011080	BDKRB2	0	0	2	0	11	0
ENSGALG00000020386	BDKRB1	0	3	1	0	0	0
ENSGALG00000042088	ATG2B	520	535	706	660	880	800
ENSGALG00000028980	gga-mir-6590	0	0	0	0	0	1
ENSGALG00000011088	GSKIP	1091	841	1143	2091	656	640
ENSGALG00000011093	AK7	43	47	64	54	26	59
ENSGALG00000033099	PAPOLA	7426	8417	7027	6799	4995	5410
ENSGALG00000051850	NA	0	0	0	0	0	0
ENSGALG00000011116	VRK1	7007	6078	7311	7133	2575	3147
ENSGALG00000047871	NA	0	0	2	0	12	6
ENSGALG00000052415	NA	0	1	0	0	0	1
ENSGALG00000053434	NA	0	0	0	1	0	1
ENSGALG00000054436	NA	0	0	0	0	0	0
ENSGALG00000025682	RF00026	0	0	0	0	0	0
ENSGALG00000050554	NA	0	0	1	1	0	9
ENSGALG00000050961	NA	37	64	52	77	59	97
ENSGALG00000052516	NA	0	3	4	0	1	13
ENSGALG00000031862	BCL11B	32	33	34	91	63	72
ENSGALG00000054207	NA	0	0	0	16	2	2
ENSGALG00000053258	NA	12	0	0	0	0	1
ENSGALG00000034802	SETD3	3171	2446	3058	2958	476	823
ENSGALG00000011138	CCNK	2587	3588	3153	2576	3258	2917
ENSGALG00000011139	CCDC85C	157	306	159	231	80	51
ENSGALG00000036286	NA	34	141	68	45	3	66
ENSGALG00000011162	CYP46A1	241	328	440	357	292	221
ENSGALG00000011166	NA	0	23	7	6	0	5
ENSGALG00000054894	NA	1	0	10	0	0	0
ENSGALG00000039735	EML1	1305	1081	1521	947	213	461
ENSGALG00000011209	EVL	210	334	211	188	918	661
ENSGALG00000011213	DEGS2	9	0	7	10	11	17
ENSGALG00000017388	YY1	477	713	512	668	2127	1597
ENSGALG00000011220	SLC25A29	1152	1274	1386	1874	371	355
ENSGALG00000052029	NA	0	0	3	0	0	12
ENSGALG00000011225	SLC25A47	15	0	5	22	12	9
ENSGALG00000011228	WARS	5795	3857	5326	5465	837	1035
ENSGALG00000028897	WDR25	454	531	598	323	152	75
ENSGALG00000050163	NA	0	0	0	0	0	0
ENSGALG00000011236	BEGAIN	337	298	269	88	58	36
ENSGALG00000051728	NA	2	0	7	7	0	0
ENSGALG00000053427	NA	0	0	0	0	1	0
ENSGALG00000047452	NA	0	0	0	3	0	1
ENSGALG00000011244	DLK1	0	7	0	45	2	9
ENSGALG00000047870	NA	0	0	3	0	5	0
ENSGALG00000047416	NA	9	0	0	5	0	0
ENSGALG00000050225	NA	0	1	0	0	0	0
ENSGALG00000050843	NA	19	0	18	7	0	3
ENSGALG00000052003	NA	0	0	8	5	2	3
ENSGALG00000053869	NA	0	1	1	0	1	2
ENSGALG00000050370	NA	0	0	0	15	0	1
ENSGALG00000051240	NA	3	10	1	5	0	1
ENSGALG00000053232	NA	0	0	0	0	0	0
ENSGALG00000029996	PPP2R5C	3105	3246	4281	3968	2694	2550
ENSGALG00000011330	DYNC1H1	9711	12237	12728	8929	9462	11498
ENSGALG00000052949	NA	0	1	2	0	0	0
ENSGALG00000048425	NA	92	52	127	53	295	217
ENSGALG00000033212	HSP90AA1	258877	287053	271200	271442	137898	159900
ENSGALG00000050298	NA	14	11	1	0	3	23
ENSGALG00000011365	WDR20	1196	1261	1550	1051	623	1089
ENSGALG00000011366	MOK	76	69	104	119	135	221
ENSGALG00000011368	ZNF839	210	152	264	106	222	497
ENSGALG00000011372	CINP	1001	1217	861	1038	814	863
ENSGALG00000011373	TECPR2	606	583	406	719	603	346
ENSGALG00000011376	ANKRD9	32	178	14	54	14	52
ENSGALG00000011384	RCOR1	150	222	235	263	439	225
ENSGALG00000047470	NA	13	0	7	0	0	0
ENSGALG00000011389	TRAF3	883	668	726	734	663	997
ENSGALG00000011391	AMN	27	96	20	28	7	37
ENSGALG00000011432	CDC42BPB	3312	3967	3319	3086	4000	4334
ENSGALG00000030673	NA	186	121	103	139	2	0
ENSGALG00000011443	EXOC3L4	1	0	0	0	0	1
ENSGALG00000011446	TNFAIP2	282	132	85	94	14	42
ENSGALG00000045478	NA	4	68	3	16	29	0
ENSGALG00000011464	EIF5	39122	38009	39833	43054	17727	24941
ENSGALG00000017866	RF00400	267	137	315	125	382	496
ENSGALG00000011505	MARK3	1410	2361	1607	1801	3026	3171
ENSGALG00000011511	CKB	110064	127850	100074	76707	11873	21103
ENSGALG00000011522	TRMT61A	5069	5222	5671	5024	817	1068
ENSGALG00000032125	NA	0	0	3	2	0	0
ENSGALG00000047693	NA	10	17	14	67	0	0
ENSGALG00000031062	BAG5	987	1154	1029	960	710	643
ENSGALG00000044519	APOPT1	1258	1833	1590	1833	910	666
ENSGALG00000053401	NA	0	2	13	0	12	21
ENSGALG00000011528	NA	701	894	828	786	750	723
ENSGALG00000011533	XRCC3	5478	5608	5600	5231	917	1032
ENSGALG00000011534	ZFYVE21	3434	4423	4123	4145	943	1286
ENSGALG00000011548	PPP1R13B	1058	763	799	1114	521	514
ENSGALG00000053706	ATP5MPL	5763	9961	6579	8632	7475	5489
ENSGALG00000027643	RD3L	3	0	0	0	4	7
ENSGALG00000011565	TDRD9	4	32	59	78	21	16
ENSGALG00000048226	NA	5	37	20	58	34	38
ENSGALG00000011572	ASPG	2058	2195	2360	1150	557	268
ENSGALG00000018329	gga-mir-203a	0	0	0	0	0	0
ENSGALG00000054707	NA	0	1	0	15	0	6
ENSGALG00000011581	KIF26A	239	303	150	219	370	551
ENSGALG00000047829	NA	0	0	0	1	4	1
ENSGALG00000049094	NA	0	0	1	0	0	2
ENSGALG00000053386	NA	3	0	0	0	0	2
ENSGALG00000053209	NA	0	0	0	0	0	2
ENSGALG00000054591	NA	0	0	0	0	0	0
ENSGALG00000051115	NA	24	1	0	0	0	0
ENSGALG00000052500	NA	0	0	0	0	0	0
ENSGALG00000047220	NA	0	0	1	1	0	0
ENSGALG00000048568	NA	0	0	0	0	3	0
ENSGALG00000053336	NA	30	24	2	39	25	80
ENSGALG00000046293	NA	9	1	0	0	0	0
ENSGALG00000011590	TMEM179	0	0	0	0	0	0
ENSGALG00000048348	NA	0	6	8	1	0	4
ENSGALG00000051764	NA	0	0	0	0	0	0
ENSGALG00000042588	NA	17	11	15	7	18	3
ENSGALG00000011608	NA	138	152	100	163	354	391
ENSGALG00000049308	NA	0	0	2	12	0	3
ENSGALG00000011618	ADSSL1	195	183	239	329	35	89
ENSGALG00000011619	SIVA1	806	1756	820	797	858	772
ENSGALG00000011620	AKT1	1791	1489	2253	1859	239	380
ENSGALG00000025174	gga-mir-1771	0	0	0	0	0	0
ENSGALG00000051385	NA	2	36	13	15	29	17
ENSGALG00000053645	NA	40	48	53	55	48	29
ENSGALG00000048194	NA	0	0	0	3	0	8
ENSGALG00000041565	NA	45	57	26	36	53	54
ENSGALG00000011639	NA	529	672	579	882	835	639
ENSGALG00000053021	NA	0	0	0	0	0	0
ENSGALG00000011646	PLD4	7	6	22	7	14	28
ENSGALG00000011687	NA	1305	1456	1838	605	1326	1737
ENSGALG00000047641	NA	1	0	0	0	0	0
ENSGALG00000011690	CLBA1	113	91	111	207	198	144
ENSGALG00000011692	CDCA4	8221	8360	9602	7493	1893	1837
ENSGALG00000027407	NA	12	0	0	0	0	8
ENSGALG00000052668	NA	0	0	0	0	0	0
ENSGALG00000011696	JAG2	1059	2076	1482	552	857	851
ENSGALG00000028940	NUDT14	1592	1828	1723	1451	411	642
ENSGALG00000049258	NA	6	1	0	3	0	0
ENSGALG00000047984	NA	0	0	0	0	0	2
ENSGALG00000048544	NA	0	0	0	0	0	0
ENSGALG00000053496	NA	11	16	1	22	23	0
ENSGALG00000048897	NA	5	20	4	2	3	2
ENSGALG00000054622	NA	9	0	0	4	3	1
ENSGALG00000011705	BRF1	127	318	203	192	842	618
ENSGALG00000033813	BTBD6	308	810	503	1158	617	1174
ENSGALG00000028260	NA	0	0	0	0	0	0
ENSGALG00000040026	NA	22	0	18	1	2	14
ENSGALG00000011715	HSPA2	11764	15717	13160	14709	6372	8150
ENSGALG00000011718	ZBTB1	2317	2747	2909	2419	2377	2421
ENSGALG00000028942	ZBTB25	205	170	286	327	366	238
ENSGALG00000011721	NA	5	95	61	70	8	128
ENSGALG00000011797	MTHFD1	6574	7316	7299	6995	3110	2943
ENSGALG00000011801	ESR2	54	39	47	52	19	67
ENSGALG00000011811	SYNE2	7715	7867	10515	8263	13060	16981
ENSGALG00000052832	NA	8	0	0	0	0	0
ENSGALG00000041183	SGPP1	44	22	74	52	60	39
ENSGALG00000011827	WDR89	3367	2599	2782	2378	473	759
ENSGALG00000037747	NA	977	1152	1075	917	639	833
ENSGALG00000011840	PPP2R5E	364	484	362	333	557	461
ENSGALG00000028839	GPHB5	0	9	0	6	0	4
ENSGALG00000011855	RHOJ	177	449	205	227	347	208
ENSGALG00000052343	NA	0	0	0	0	24	0
ENSGALG00000049792	NA	1	0	0	9	0	1
ENSGALG00000011858	KCNH5	68	165	171	48	56	181
ENSGALG00000046873	NA	9	4	15	0	17	25
ENSGALG00000052666	NA	0	0	0	0	0	0
ENSGALG00000051586	NA	0	0	0	0	0	0
ENSGALG00000049520	NA	0	0	7	0	0	0
ENSGALG00000052861	NA	0	0	0	0	1	0
ENSGALG00000053460	NA	1	0	0	1	0	0
ENSGALG00000011861	SYT16	54	44	37	125	71	167
ENSGALG00000053713	NA	0	0	0	9	0	0
ENSGALG00000040063	NA	15	1	5	2	75	91
ENSGALG00000011868	SNAPC1	3582	4026	3770	3473	1487	2020
ENSGALG00000011870	HIF1A	4607	5743	6043	5398	4551	4757
ENSGALG00000053630	NA	0	3	1	1	2	0
ENSGALG00000011889	NA	132	122	152	127	103	174
ENSGALG00000048504	NA	0	0	8	0	2	4
ENSGALG00000011893	SLC38A6	387	531	421	658	551	573
ENSGALG00000011904	TRMT5	3546	2389	3008	2610	530	600
ENSGALG00000011910	MNAT1	2379	2464	2804	2359	1830	1931
ENSGALG00000017389	SIX4	24	42	61	22	75	31
ENSGALG00000047571	NA	304	252	332	529	305	406
ENSGALG00000029401	SIX1	119	530	192	463	824	716
ENSGALG00000020359	SIX6	33	116	30	13	75	47
ENSGALG00000036504	C14orf39	12	2	18	8	6	24
ENSGALG00000011917	PPM1A	1254	1657	1180	1435	1204	1628
ENSGALG00000030245	NA	126	245	60	216	137	175
ENSGALG00000011921	DHRS7	5992	7079	6582	8625	3356	3455
ENSGALG00000011922	PCNX4	487	147	281	323	260	197
ENSGALG00000012005	NA	5	9	5	7	12	12
ENSGALG00000012006	RTN1	993	968	953	412	124	112
ENSGALG00000028666	NA	4	0	0	3	14	8
ENSGALG00000012009	JKAMP	4580	3779	4739	4903	764	1169
ENSGALG00000012011	L3HYPDH	121	142	82	195	292	175
ENSGALG00000048332	GPR135	19	13	1	9	0	2
ENSGALG00000012017	DAAM1	803	1412	1152	985	2159	1878
ENSGALG00000054673	NA	0	0	0	0	0	2
ENSGALG00000049009	NA	0	0	1	0	5	0
ENSGALG00000054954	gga-mir-7470	0	0	0	0	0	0
ENSGALG00000053072	gga-mir-7470	0	0	0	0	0	0
ENSGALG00000012021	NA	16	0	0	0	0	0
ENSGALG00000043469	NA	28	0	0	6	0	4
ENSGALG00000046761	NA	0	0	0	0	0	0
ENSGALG00000049279	NA	6	0	6	14	3	6
ENSGALG00000012023	DACT1	37	64	50	28	109	130
ENSGALG00000012025	TA3	1581	2395	1976	2291	1273	1313
ENSGALG00000025569	gga-mir-1578	0	0	0	0	0	0
ENSGALG00000031966	TIMM9	2241	3677	2478	2832	2091	1902
ENSGALG00000012037	ARID4A	2780	3586	3323	2792	3245	3934
ENSGALG00000012039	PSMA3	38025	43695	38573	39311	12652	17209
ENSGALG00000012041	ACTR10	3808	4424	4430	5337	1614	1428
ENSGALG00000012085	NA	164	217	176	240	63	92
ENSGALG00000012089	NA	318	1424	760	1386	1155	887
ENSGALG00000051550	NA	422	902	568	946	1376	1295
ENSGALG00000047505	NA	0	0	0	0	0	0
ENSGALG00000012094	SLC35F4	47	104	101	95	70	49
ENSGALG00000012095	NA	1	14	36	29	36	7
ENSGALG00000012098	NAA30	234	361	303	255	717	552
ENSGALG00000047172	NA	3	7	24	29	0	0
ENSGALG00000012101	AP5M1	4511	5531	5284	3294	1138	1095
ENSGALG00000012105	EXOC5	5298	4859	5836	3261	1634	1868
ENSGALG00000054167	NA	86	8	48	23	27	37
ENSGALG00000028775	RF02271	0	0	0	0	0	0
ENSGALG00000025289	NA	0	0	0	0	0	1
ENSGALG00000034889	OTX2	620	1067	641	420	1013	762
ENSGALG00000012118	TMEM260	865	1100	1220	1436	296	504
ENSGALG00000050664	NA	0	0	5	0	0	0
ENSGALG00000012124	PELI2	1112	1337	1225	1490	407	619
ENSGALG00000052305	NA	2	0	0	2	0	0
ENSGALG00000012137	KTN1	3166	5183	3411	4742	6420	5837
ENSGALG00000054839	gga-mir-1638	0	0	0	0	0	1
ENSGALG00000012145	TBPL2	3	9	1	6	1	1
ENSGALG00000012148	ATG14	24	15	33	35	90	47
ENSGALG00000032563	FBXO34	248	473	363	376	729	471
ENSGALG00000012165	DLGAP5	8474	8377	8527	9137	2920	2981
ENSGALG00000012173	LGALS3	800	986	776	1152	1184	950
ENSGALG00000035490	MAPK1IP1L	2322	3839	2927	3462	752	931
ENSGALG00000012179	SOCS4	264	366	206	265	147	216
ENSGALG00000012199	WDHD1	3137	3175	2752	3281	1727	1850
ENSGALG00000012200	GCH1	151	187	217	163	141	108
ENSGALG00000041790	SAMD4A	240	344	289	388	654	403
ENSGALG00000025173	gga-mir-1676	0	0	0	0	0	0
ENSGALG00000012206	CGRRF1	1804	1806	1919	1698	284	495
ENSGALG00000012208	GMFB	1589	1186	1783	1627	175	156
ENSGALG00000035023	CNI	5391	7188	5858	6583	2011	1862
ENSGALG00000012220	CDKN3	1530	2130	1515	2028	666	694
ENSGALG00000053739	NA	0	0	0	0	0	0
